18:17:34.311758 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:34.311922 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:34.311999 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:34.312059 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:34.313430 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:34.313935 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:34.313996 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:34.314771 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:34.314812 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:34.314824 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:34.315150 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:34.315416 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:34.315441 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:34.315459 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:34.321648 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:34.321716 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:34.327137 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:34.327203 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:34.341593 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:34.348333 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:34.367782 IP 203.0.113.1.443 > 10.2.0.2.57205: quic, protected
18:17:34.374251 IP 10.2.0.2.57205 > 203.0.113.1.443: quic, protected
18:17:34.540783 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:34.647419 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:34.754277 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:34.860944 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:34.967615 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:35.073409 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:35.179682 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:35.286269 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:35.391768 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:35.498425 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:35.604986 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:35.711866 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:35.818502 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:35.925144 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:36.030865 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:36.137625 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
18:17:36.243830 IP 10.2.0.2.57205 > 203.0.113.11.54421: UDP, length 81
