18:17:34.311748 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:34.311929 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:34.311992 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:34.312066 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:34.313424 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:34.313944 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:34.313989 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:34.314765 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:34.314809 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:34.314831 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:34.315159 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:34.315409 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:34.315437 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:34.315466 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:34.321657 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:34.321706 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:34.327125 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:34.327212 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:34.341615 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:34.348317 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:34.367749 IP 203.0.113.1.443 > 203.0.113.12.57205: quic, protected
18:17:34.374279 IP 203.0.113.12.57205 > 203.0.113.1.443: quic, protected
18:17:34.539517 IP 203.0.113.11.54421 > 203.0.113.12.57205: UDP, length 81
18:17:34.540860 IP 203.0.113.12.15798 > 203.0.113.11.54421: UDP, length 81
18:17:34.646391 IP 203.0.113.11.54421 > 203.0.113.12.57205: UDP, length 81
18:17:34.647469 IP 203.0.113.12.15798 > 203.0.113.11.54421: UDP, length 81
18:17:34.753002 IP 203.0.113.11.54421 > 203.0.113.12.57205: UDP, length 81
18:17:34.754327 IP 203.0.113.12.15798 > 203.0.113.11.54421: UDP, length 81
18:17:34.858865 IP 203.0.113.11.54421 > 203.0.113.12.57205: UDP, length 81
18:17:34.860989 IP 203.0.113.12.15798 > 203.0.113.11.54421: UDP, length 81
